Modelo,Split,Horizonte,Comuna,Nombre,MAE,RMSE,R2,N,media_real,max_real
Random Forest,Validation,0,3,C3 Balvanera,7.31,11.73,0.912,26,35.27,120.0
XGBoost,Validation,0,3,C3 Balvanera,6.58,9.72,0.94,26,35.27,120.0
LSTM+aug,Validation,0,3,C3 Balvanera,71.21,78.32,-2.575,14,32.93,120.0
Persistencia,Validation,0,4,C4 La Boca,23.38,39.86,0.794,26,74.04,296.0
Random Forest,Validation,0,4,C4 La Boca,28.04,51.37,0.658,26,74.04,296.0
XGBoost,Validation,0,4,C4 La Boca,27.47,45.68,0.729,26,74.04,296.0
LSTM+aug,Validation,0,4,C4 La Boca,85.47,97.66,-0.086,14,71.93,296.0
Persistencia,Validation,0,5,C5 Almagro,9.69,15.8,0.838,26,32.15,118.0
Random Forest,Validation,0,5,C5 Almagro,10.12,17.39,0.804,26,32.15,118.0
XGBoost,Validation,0,5,C5 Almagro,8.83,15.16,0.851,26,32.15,118.0
LSTM+aug,Validation,0,5,C5 Almagro,72.5,79.68,-3.399,14,29.36,109.0
Persistencia,Validation,0,6,C6 Caballito,8.73,13.52,0.836,26,27.42,103.0
Random Forest,Validation,0,6,C6 Caballito,7.81,13.21,0.844,26,27.42,103.0
XGBoost,Validation,0,6,C6 Caballito,7.68,12.33,0.864,26,27.42,103.0
LSTM+aug,Validation,0,6,C6 Caballito,76.06,82.27,-5.371,14,23.86,103.0
Persistencia,Validation,0,7,C7 Flores,8.77,14.37,0.859,26,34.62,111.0
Random Forest,Validation,0,7,C7 Flores,7.7,11.59,0.908,26,34.62,111.0
XGBoost,Validation,0,7,C7 Flores,6.81,10.15,0.93,26,34.62,111.0
LSTM+aug,Validation,0,7,C7 Flores,72.71,79.69,-3.689,14,28.71,108.0
Persistencia,Validation,0,8,C8 Lugano,11.5,16.17,0.783,26,35.35,106.0
Random Forest,Validation,0,8,C8 Lugano,9.99,14.94,0.815,26,35.35,106.0
XGBoost,Validation,0,8,C8 Lugano,9.25,12.44,0.872,26,35.35,106.0
LSTM+aug,Validation,0,8,C8 Lugano,70.2,78.18,-3.644,14,30.14,106.0
Persistencia,Validation,0,9,C9 Liniers,5.54,8.7,0.776,26,18.19,62.0
Random Forest,Validation,0,9,C9 Liniers,5.26,9.46,0.735,26,18.19,62.0
XGBoost,Validation,0,9,C9 Liniers,6.01,10.97,0.644,26,18.19,62.0
LSTM+aug,Validation,0,9,C9 Liniers,82.26,84.47,-18.351,14,17.14,62.0
Persistencia,Validation,0,10,C10 Floresta,5.65,8.25,0.868,26,20.31,69.0
Random Forest,Validation,0,10,C10 Floresta,6.49,10.29,0.796,26,20.31,69.0
XGBoost,Validation,0,10,C10 Floresta,6.43,10.55,0.785,26,20.31,69.0
LSTM+aug,Validation,0,10,C10 Floresta,82.76,85.17,-16.865,14,16.64,60.0
Persistencia,Validation,0,11,C11 Villa del Parque,10.15,16.34,0.868,26,38.69,132.0
Random Forest,Validation,0,11,C11 Villa del Parque,9.2,17.63,0.846,26,38.69,132.0
XGBoost,Validation,0,11,C11 Villa del Parque,6.98,12.37,0.924,26,38.69,132.0
LSTM+aug,Validation,0,11,C11 Villa del Parque,78.34,82.74,-4.688,14,24.29,122.0
Persistencia,Validation,0,12,C12 Coghlan,12.15,17.61,0.85,26,35.65,153.0
Random Forest,Validation,0,12,C12 Coghlan,8.42,13.9,0.907,26,35.65,153.0
XGBoost,Validation,0,12,C12 Coghlan,8.89,15.31,0.887,26,35.65,153.0
LSTM+aug,Validation,0,12,C12 Coghlan,76.77,81.91,-4.517,14,25.29,118.0
Persistencia,Validation,0,13,C13 Belgrano,11.96,18.71,0.813,26,33.5,146.0
Random Forest,Validation,0,13,C13 Belgrano,10.15,15.7,0.868,26,33.5,146.0
XGBoost,Validation,0,13,C13 Belgrano,11.11,19.54,0.796,26,33.5,146.0
LSTM+aug,Validation,0,13,C13 Belgrano,76.77,82.82,-4.737,14,24.14,110.0
Persistencia,Validation,0,14,C14 Palermo,6.23,8.93,0.872,26,22.19,78.0
Random Forest,Validation,0,14,C14 Palermo,4.16,6.38,0.935,26,22.19,78.0
XGBoost,Validation,0,14,C14 Palermo,4.05,5.94,0.943,26,22.19,78.0
LSTM+aug,Validation,0,14,C14 Palermo,82.18,85.04,-14.163,14,17.21,67.0
Persistencia,Validation,0,15,C15 Agronomía,17.85,26.39,0.857,26,59.38,210.0
Random Forest,Validation,0,15,C15 Agronomía,12.81,19.48,0.922,26,59.38,210.0
XGBoost,Validation,0,15,C15 Agronomía,16.06,26.84,0.852,26,59.38,210.0
LSTM+aug,Validation,0,15,C15 Agronomía,75.36,80.54,-1.678,14,35.64,153.0
Persistencia,Validation,1,1,C1 Puerto Madero,106.96,152.74,0.899,26,435.5,1391.0
